9694901 | Rhizobium | drought | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
10252715 | Azospirillum brasilense | drought | maize | On the other hand, the inoculation of maize with the Azospirillum brasilense strain SP-7 in combination with the Herbaspirillum seropedicae strain Z-152 under drought conditions led to a decrease in the expression of the ZmVP14 gene, which is involved in the biosynthesis of ABA, and a decrease in the level of ABA in the plant. | NO
8003591 | Rhizobium leguminosarum | salt stress | Vicia faba | Abd El-Ghany and Attia 2020 -REF- found that the combination of Mel and peat-based inoculants Rhizobium leguminosarum, a N fixing bacterium, and Azotobacter chroococcum, an EPS-producing bacterium synergistically enhanced salt stress tolerance in faba bean plants Vicia faba as compared to Mel- or inoculants-treated seeds alone. | NO
7588442 | Azospirillum lipoferum | drought | maize | A similar effect was reported on maize inoculated with a combination of Azospirillum lipoferum and Pseudomonas putida and sown on soil conditioned with SAP, both under a normal watering regime and when subjected to drought -REF-. | NO
9213282 | Brevibacterium laterosporus | cold stress | rice | Treatment of rice with the combination of IAA- and siderophore-producing B. amyloliquefaciens and Brevibacterium laterosporus improves resistance to drought and cold stress by inducing the expression of genes such as OsMYB3R-2, dehydration-responsive element-binding protein 1 A OsDREB1A, OsCDPK13, and drought-induced LTP OsDIL Kakar et al. | NO
8003591 | Rhizobium leguminosarum | salt stress | faba bean | Abd El-Ghany and Attia 2020 -REF- found that the combination of Mel and peat-based inoculants Rhizobium leguminosarum, a N fixing bacterium, and Azotobacter chroococcum, an EPS-producing bacterium synergistically enhanced salt stress tolerance in faba bean plants Vicia faba as compared to Mel- or inoculants-treated seeds alone. | NO
8003591 | Azotobacter chroococcum | salt stress | Vicia faba | Abd El-Ghany and Attia 2020 -REF- found that the combination of Mel and peat-based inoculants Rhizobium leguminosarum, a N fixing bacterium, and Azotobacter chroococcum, an EPS-producing bacterium synergistically enhanced salt stress tolerance in faba bean plants Vicia faba as compared to Mel- or inoculants-treated seeds alone. | NO
10823023 | Pseudomonas | water stress | Vigna mungo | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
10823023 | Ochrobactrum pseudogrignonense | water stress | Vigna mungo | -REF- studied Vigna mungo L. and Pisum sativum L. subjected to water stress and inoculated them with a combination of three ACC deaminase-producing rhizobacteria Ochrobactrum pseudogrignonense RJ12, Pseudomonas sp. | NO
11150836 | Pseudomonas putida | drought stress | white clover | Previously, a combination of three bacterial strains Pseudomonas putida, Pseudomonas sp., and Bacillus megaterium increased the root biomass of white clover Trifolium repens L. plants, indirectly improving their tolerance to drought stress -REF-. | NO
7691295 | Glomus intraradices | salt stress | Lactuca sativa | -REF- examined the effects of inoculation of plant growth-promoting rhizobacterium Pseudomonas mendocina, alone or in combination with AMF Glomus intraradices or Glomus mosseae on the growth, nutrient accumulation, and physiological parameters of Lactuca sativa exposed to salt stress. | NO
11133442 | Bacillus mojavensis | drought stress | chickpea | reported that combined inoculation of Mesorhizobium ciceri RZ-11, Bacillus subtilis RP-01 and Bacillus mojavensis RS-14 resulted in 45–50% improvement in chickpea yield under drought stress -REF-. | NO
9885204 | Enterobacter | salt tolerance | wheat | However, treatment with a combination of silicon and PGPR had extremely significant protective effects on roots, shoots, biomass and chlorophyll, evidencing further improvement of wheat salt tolerance compared to the impact of silicon and Enterobacter sp. | NO
10101020 | Bacillus | salt stress | rice | Furthermore, the dominant bacteria Kushneria and Bacillus were obtained from the phyllosphere and rhizosphere, respectively, and their coculture with rice could effectively alleviate salt stress and promote rice growth. | NO
10101020 | Kushneria konosiri | salt | rice | Thus, the dominant taxa Kushneria konosiri 1-1 and Bacillus marisflavi 23-1, with high abundance and strong growth-promoting function, were selected for coculture with rice seedlings to observe the growth-promoting effect on rice seedlings under salt treatment and water treatment. | NO
10101020 | Kushneria | salt stress | rice | Furthermore, the dominant bacteria Kushneria and Bacillus were obtained from the phyllosphere and rhizosphere, respectively, and their coculture with rice could effectively alleviate salt stress and promote rice growth. | NO
10101020 | Bacillus marisflavi | salt | rice | Thus, the dominant taxa Kushneria konosiri 1-1 and Bacillus marisflavi 23-1, with high abundance and strong growth-promoting function, were selected for coculture with rice seedlings to observe the growth-promoting effect on rice seedlings under salt treatment and water treatment. | NO
10653309 | Penicillium | drought tolerance | Morus alba | -REF- screened out Trichoderma GS1, Pseudopteris GRs12, Penicillium GR19, and Trichoderma GR21 by applying periodic drought stress to Morus alba L. The mixed suspension can improve the drought tolerance of mulberry by inducing the production of catalase, soluble sugar, and chlorophyll. | NO
10653309 | Penicillium | drought stress | Morus alba | -REF- screened out Trichoderma GS1, Pseudopteris GRs12, Penicillium GR19, and Trichoderma GR21 by applying periodic drought stress to Morus alba L. The mixed suspension can improve the drought tolerance of mulberry by inducing the production of catalase, soluble sugar, and chlorophyll. | NO
10653309 | Trichoderma | drought stress | Morus alba | -REF- screened out Trichoderma GS1, Pseudopteris GRs12, Penicillium GR19, and Trichoderma GR21 by applying periodic drought stress to Morus alba L. The mixed suspension can improve the drought tolerance of mulberry by inducing the production of catalase, soluble sugar, and chlorophyll. | NO
11203645 | Lysinibacillus fusiformis | salt stress | bean | -REF- also reported that the synergistic application of Lysinibacillus fusiformis L. PLT16 and rhizobacterium strain ameliorates the negative effects of drought and salt stress on soybean and bean plants by regulating photosynthesis and the hormonal and antioxidant systems. | NO
11203645 | Lysinibacillus fusiformis | drought | soybean | -REF- also reported that the synergistic application of Lysinibacillus fusiformis L. PLT16 and rhizobacterium strain ameliorates the negative effects of drought and salt stress on soybean and bean plants by regulating photosynthesis and the hormonal and antioxidant systems. | NO
11133442 | Paenibacillus lentimorbus | drought | chickpea | According to Khan et al., inoculation of Paenibacillus lentimorbus B-30488 along with salicylic acid and calcium alginate improved the height and dry weight of chickpea by 29.64 and 20.18% respectively under drought simulated conditions in field -REF-. | NO
11133442 | Azotobacter | water stress | Valeriana officinalis | Application of AMF along with Azotobacter and Azospirillum enhanced the N and K content of Valeriana officinalis under water stress -REF-. | NO
9269222 | Azotobacter chroococcum | salt stress | maize | Even salt stress resistance of maize improved with the application of biochar, along with plant growth promoting bacteria Azotobacter chroococcum SARS 10 and Pseudomonas koreensis MG209738 -REF-. | NO
11133442 | Bacillus megaterium | drought stress | chickpea | reported that theinoculation of Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress significantly reduced the APOX 70% and 68% and SOD 61% and 65% activities in both drought tolerant and sensitive varieties of chickpea -REF-. | NO
11133442 | Azospirillum | water stress | Valeriana officinalis | Application of AMF along with Azotobacter and Azospirillum enhanced the N and K content of Valeriana officinalis under water stress -REF-. | NO
11133442 | Bacillus thuringiensis | drought stress | chickpea | Similarly, reduced proline levels have also been reported in chickpea inoculated with Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress -REF-. | NO
9269222 | Pseudomonas koreensis | salt stress | maize | Even salt stress resistance of maize improved with the application of biochar, along with plant growth promoting bacteria Azotobacter chroococcum SARS 10 and Pseudomonas koreensis MG209738 -REF-. | NO
10453936 | Sphingobacterium | drought | grapes | developed SynCom using Bacillus, Acinetobacter, Sphingobacterium, Delftia and Enterobacter for grapes, which not only protect plants during drought, but promote growth and yield -REF-. | NO
11233480 | Potexvirus | drought | Arabidopsis thaliana | Studies have shown that the interaction between Potexvirus RNA virus Potato virus X PVX and Potyvirus RNA virus Plum pox virus PPV can lead to improved tolerance to drought in Nicotiana benthamiana and Arabidopsis thaliana, suggesting that increased virulence exhibited by the synergistic interaction of these viruses may confer benefits in response to drought conditions Aguilar et al. | NO
9428627 | Bacillus thuringiensis | drought | Retama sphaerocarpa | Additionally, -REF- demonstrated that interactions between Bacillus thuringiensis and Glomus increase plant water uptake in Retama sphaerocarpa under drought. | NO
10381829 | Trichoderma | drought tolerance | Pinus massoniana | These results suggested that Proteobacteria, enhanced under drought stress by Trichoderma inoculation, might play a crucial role in influencing the drought tolerance of Pinus massoniana. | NO
