9694901 | Rhizobium | High temperature | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
7691295 | Glomus intraradices | salt | Lactuca sativa | -REF- examined the effects of inoculation of plant growth-promoting rhizobacterium Pseudomonas mendocina, alone or in combination with AMF Glomus intraradices or Glomus mosseae on the growth, nutrient accumulation, and physiological parameters of Lactuca sativa exposed to salt stress. | NO
11133442 | Bacillus mojavensis | drought | chickpea | reported that combined inoculation of Mesorhizobium ciceri RZ-11, Bacillus subtilis RP-01 and Bacillus mojavensis RS-14 resulted in 45–50% improvement in chickpea yield under drought stress -REF-. | NO
9885204 | Enterobacter | salt | wheat | However, treatment with a combination of silicon and PGPR had extremely significant protective effects on roots, shoots, biomass and chlorophyll, evidencing further improvement of wheat salt tolerance compared to the impact of silicon and Enterobacter sp. | NO
10101020 | Bacillus | salt | rice | Furthermore, the dominant bacteria Kushneria and Bacillus were obtained from the phyllosphere and rhizosphere, respectively, and their coculture with rice could effectively alleviate salt stress and promote rice growth. | NO
10101020 | Kushneria konosiri | salt | rice | Thus, the dominant taxa Kushneria konosiri 1-1 and Bacillus marisflavi 23-1, with high abundance and strong growth-promoting function, were selected for coculture with rice seedlings to observe the growth-promoting effect on rice seedlings under salt treatment and water treatment. | NO
10101020 | Kushneria | salt | rice | Furthermore, the dominant bacteria Kushneria and Bacillus were obtained from the phyllosphere and rhizosphere, respectively, and their coculture with rice could effectively alleviate salt stress and promote rice growth. | NO
10101020 | Bacillus marisflavi | salt | rice | Thus, the dominant taxa Kushneria konosiri 1-1 and Bacillus marisflavi 23-1, with high abundance and strong growth-promoting function, were selected for coculture with rice seedlings to observe the growth-promoting effect on rice seedlings under salt treatment and water treatment. | NO
10653309 | Penicillium | drought | Morus alba | -REF- screened out Trichoderma GS1, Pseudopteris GRs12, Penicillium GR19, and Trichoderma GR21 by applying periodic drought stress to Morus alba L. The mixed suspension can improve the drought tolerance of mulberry by inducing the production of catalase, soluble sugar, and chlorophyll. | NO
10653309 | Trichoderma | drought | Morus alba | -REF- screened out Trichoderma GS1, Pseudopteris GRs12, Penicillium GR19, and Trichoderma GR21 by applying periodic drought stress to Morus alba L. The mixed suspension can improve the drought tolerance of mulberry by inducing the production of catalase, soluble sugar, and chlorophyll. | NO
11203645 | Lysinibacillus fusiformis | salt | bean | -REF- also reported that the synergistic application of Lysinibacillus fusiformis L. PLT16 and rhizobacterium strain ameliorates the negative effects of drought and salt stress on soybean and bean plants by regulating photosynthesis and the hormonal and antioxidant systems. | NO
11203645 | Lysinibacillus fusiformis | drought | soybean | -REF- also reported that the synergistic application of Lysinibacillus fusiformis L. PLT16 and rhizobacterium strain ameliorates the negative effects of drought and salt stress on soybean and bean plants by regulating photosynthesis and the hormonal and antioxidant systems. | NO
11133442 | Paenibacillus lentimorbus | drought | chickpea | According to Khan et al., inoculation of Paenibacillus lentimorbus B-30488 along with salicylic acid and calcium alginate improved the height and dry weight of chickpea by 29.64 and 20.18% respectively under drought simulated conditions in field -REF-. | NO
11133442 | Azotobacter | water stress | Valeriana officinalis | Application of AMF along with Azotobacter and Azospirillum enhanced the N and K content of Valeriana officinalis under water stress -REF-. | NO
9269222 | Azotobacter chroococcum | salt | maize | Even salt stress resistance of maize improved with the application of biochar, along with plant growth promoting bacteria Azotobacter chroococcum SARS 10 and Pseudomonas koreensis MG209738 -REF-. | NO
11133442 | Bacillus megaterium | drought | chickpea | reported that theinoculation of Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress significantly reduced the APOX 70% and 68% and SOD 61% and 65% activities in both drought tolerant and sensitive varieties of chickpea -REF-. | NO
11133442 | Azospirillum | water stress | Valeriana officinalis | Application of AMF along with Azotobacter and Azospirillum enhanced the N and K content of Valeriana officinalis under water stress -REF-. | NO
11133442 | Bacillus thuringiensis | drought | chickpea | Similarly, reduced proline levels have also been reported in chickpea inoculated with Bazzania subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress -REF-. | NO
9269222 | Pseudomonas koreensis | salt | maize | Even salt stress resistance of maize improved with the application of biochar, along with plant growth promoting bacteria Azotobacter chroococcum SARS 10 and Pseudomonas koreensis MG209738 -REF-. | NO
10453936 | Sphingobacterium | drought | grapes | developed SynCom using Bacillus, Acinetobacter, Sphingobacterium, Delftia and Enterobacter for grapes, which not only protect plants during drought, but promote growth and yield -REF-. | NO
11233480 | Potexvirus | drought | Arabidopsis thaliana | Studies have shown that the interaction between Potexvirus RNA virus Potato virus X PVX and Potyvirus RNA virus Plum pox virus PPV can lead to improved tolerance to drought in Nicotiana benthamiana and Arabidopsis thaliana, suggesting that increased virulence exhibited by the synergistic interaction of these viruses may confer benefits in response to drought conditions Aguilar et al. | NO
9428627 | Bacillus thuringiensis | drought | Retama sphaerocarpa | Additionally, -REF- demonstrated that interactions between Bacillus thuringiensis and Glomus increase plant water uptake in Retama sphaerocarpa under drought. | NO
10381829 | Trichoderma | drought | Pinus massoniana | These results suggested that Proteobacteria, enhanced under drought stress by Trichoderma inoculation, might play a crucial role in influencing the drought tolerance of Pinus massoniana. | NO
11116649 | Bradyrhizobium | salt | soybean | Similarly, dual inoculation of plant growth-promoting bacteria with Bradyrhizobium strains has proven more effective in enhancing salt tolerance in soybean, reducing salt-induced ethylene production, and improving nutrient uptake -REF-. | NO
11036750 | Azospirillum brasilense | water-stressed | wheat | Our study supports these results by showing how biochar, t-ZR, and Azospirillum brasilense work together to enhance enzyme activities in water-stressed wheat plants, including peroxidase, catalase, superoxide dismutase, polyphenol oxidase, and amylase. | NO
10381829 | Mycobacterium | drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
9142908 | Trichoderma longibrachiatum | salt | maize | Our results suggest that AM fungi and Trichoderma longibrachiatum MF living in the rhizosphere of maize were coordinately involved in the plant’s adaptation to salt stress tolerance. | NO
9428627 | Glomus | drought | Retama sphaerocarpa | Additionally, -REF- demonstrated that interactions between Bacillus thuringiensis and Glomus increase plant water uptake in Retama sphaerocarpa under drought. | NO
9634556 | Pseudomonas fluorescens | heat | Pimelea aeruginosa | SoilPro® Liventia, TX, United States is a MBSt containing Pseudomonas fluorescens and Pimelea aeruginosa and helps improve soil quality and heat stress tolerance -REF-. | NO
10381829 | Trichoderma longibrachiatum | drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
10381829 | Sinomonas | drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
10381829 | Burkholderia | drought | Pinus massoniana | Based on microbial network analysis, certain dominant taxa driven by Trichoderma longibrachiatum inoculation, including genera of Penicillium, Trichoderma, Simplicillium, Saitozyma, Burkholderia, Bradyrhizobium, Sinomonas, and Mycobacterium, are indicated to play crucial roles in enhancing the drought resilience of Pinus massoniana. | NO
10381829 | Proteobacteria | drought | Pinus massoniana | These results suggested that Proteobacteria, enhanced under drought stress by Trichoderma inoculation, might play a crucial role in influencing the drought tolerance of Pinus massoniana. | NO
11150836 | Bacillus thuringiensis | drought | Trichogyne repens | A previous study found that compared with uninoculated plants, the leaf PRO content of Trichogyne repens plants increased by 3–4 times following application of mixed cultures composed of arbuscular mycorrhizal fungi and Bacillus thuringiensis, which boosted plant drought tolerance -REF-. | NO
